sp.name,Longitude,Latitude
Dynamine_artemisia,-96.3249999,17.7419166
Dynamine_artemisia,-91.3061111,16.2
Dynamine_artemisia,-91.3033333,16.1997222
Dynamine_artemisia,-91.3125,16.1994444
Dynamine_artemisia,-91.3083333,16.2022222
Dynamine_artemisia,-91.3061111,16.1861111
Dynamine_artemisia,-91.3283349,16.1981938
Dynamine_artemisia,-92.3397838,17.1689888
Dynamine_artemisia,-92.3424377,17.1683158
Dynamine_artemisia,-96.48471,17.57322
Dynamine_artemisia,-96.295,17.6275
Dynamine_artemisia,-96.9283333,18.885
Eunica_malvina,-92.12,15.0386111
Eunica_malvina,-90.89,16.1152778
Eunica_malvina,-93.8616667,16.2255556
Eunica_malvina,-92.4319444,15.1830556
Eunica_malvina,-93.5797222,15.8497222
Eunica_malvina,-92.2533333,14.8705556
Eunica_malvina,-92.8797222,17.5597222
Hamadryas_glauconome,-94.6183333,17.0616667
Hamadryas_glauconome,-92.2183333,15.3844444
Hamadryas_glauconome,-92.2183333,15.3844444
Hamadryas_glauconome,-93.9847222,16.5997222
Hamadryas_glauconome,-92.115,15.4722222
Hamadryas_glauconome,-92.115,15.4722222
Hamadryas_glauconome,-93.2722222,16.7986111
Hamadryas_glauconome,-93.5875,16.1508333
Hamadryas_glauconome,-93.1091667,16.7547222
Hamadryas_glauconome,-92.1241667,15.4722222
Hamadryas_glauconome,-93.5513889,16.1544444
Hamadryas_glauconome,-99.855491,16.837875
Hamadryas_glauconome,-108.22167,25.82472
Hamadryas_glauconome,-96.8958333,19.4041667
Hamadryas_glauconome,-96.5488889,19.3441667
Hamadryas_glauconome,-96.9275,19.54
Hamadryas_glauconome,-96.2944444,19.1958333
Hamadryas_glauconome,-96.9566667,19.4530556
Hamadryas_glauconome,-96.9344444,19.0655556
Hamadryas_glauconome,-102.7008333,18.0580556
Hamadryas_glauconome,-102.7008333,18.0580556
Hamadryas_glauconome,-102.2786111,18.3425
Hamadryas_glauconome,-102.2786111,18.3425
Hamadryas_glauconome,-102.0130556,19.16
Hamadryas_glauconome,-102.0130556,19.16
Hamadryas_glauconome,-103.6669444,18.7666667
Hamadryas_glauconome,-103.6669444,18.7666667
Hamadryas_glauconome,-102.0630556,19.3511111
Hamadryas_glauconome,-102.0630556,19.3511111
Hamadryas_glauconome,-101.8916667,18.8816667
Hamadryas_glauconome,-101.8916667,18.8816667
Hamadryas_glauconome,-102.7527778,18.0702778
Hamadryas_glauconome,-102.7527778,18.0702778
Hamadryas_glauconome,-102.2227778,18.3877778
Hamadryas_glauconome,-102.2227778,18.3877778
Hamadryas_glauconome,-102.0655556,19.3777778
Hamadryas_glauconome,-102.0655556,19.3777778
Hamadryas_glauconome,-102.7569444,18.0933333
Hamadryas_glauconome,-102.7569444,18.0933333
Hamadryas_glauconome,-102.305,19.2916667
Hamadryas_glauconome,-102.2111111,19.1413889
Hamadryas_glauconome,-102.2111111,19.1413889
Hamadryas_glauconome,-102.5344444,18.0419444
Hamadryas_glauconome,-102.5344444,18.0419444
Hamadryas_glauconome,-102.335,19.0066667
Hamadryas_glauconome,-102.2763889,18.2822222
Hamadryas_glauconome,-102.2763889,18.2822222
Hamadryas_glauconome,-96.975,17.8916667
Hamadryas_glauconome,-96.9916667,17.9083333
Hamadryas_glauconome,-96.9916667,17.875
Hamadryas_glauconome,-102.2786111,18.3425
Hamadryas_glauconome,-102.1633333,18.3891667
Hamadryas_glauconome,-102.1633333,18.3891667
Hamadryas_glauconome,-102.0163889,18.4830556
Hamadryas_glauconome,-102.0163889,18.4830556
Hamadryas_glauconome,-102.2227778,18.3877778
Hamadryas_glauconome,-101.92,18.2697222
Hamadryas_glauconome,-101.92,18.2697222
Hamadryas_glauconome,-102.0708333,18.4677778
Hamadryas_glauconome,-102.0708333,18.4677778
Hamadryas_glauconome,-102.3366667,18.3716667
Hamadryas_glauconome,-102.3366667,18.3716667
Hamadryas_glauconome,-102.7569444,18.0933333
Hamadryas_glauconome,-102.2763889,18.2822222
Hamadryas_glauconome,-93.0661111,16.7108333
Hamadryas_glauconome,-93.0661111,16.7108333
Hamadryas_glauconome,-96.3055556,19.2675
Hamadryas_glauconome,-102.9463889,18.7538889
Hamadryas_glauconome,-95.0386111,16.8419444
Hamadryas_glauconome,-95.0386111,16.8419444
Hamadryas_glauconome,-101.0402778,17.3105556
Hamadryas_glauconome,-99,18.3997222
Hamadryas_glauconome,-99,18.3997222
Hamadryas_glauconome,-99.8597222,16.8291667
Hamadryas_glauconome,-99.8597222,16.8291667
Hamadryas_glauconome,-96.165,17.9119444
Hamadryas_glauconome,-103.6944444,19.2305556
Hamadryas_glauconome,-99.4477778,17.3458333
Hamadryas_glauconome,-99.4477778,17.3458333
Hamadryas_glauconome,-92.8555556,16.7516667
Hamadryas_glauconome,-92.8555556,16.7516667
Hamadryas_glauconome,-99.2213889,18.8991667
Hamadryas_glauconome,-99.2213889,18.8991667
Hamadryas_glauconome,-93.0661111,16.7108333
Hamadryas_glauconome,-104.0772222,19.6322222
Hamadryas_glauconome,-104.0772222,19.6322222
Hamadryas_glauconome,-91.3541667,16.3258333
Hamadryas_glauconome,-91.3541667,16.3258333
Hamadryas_glauconome,-95.2,16.1830556
Hamadryas_glauconome,-99.5616667,18.4630556
Hamadryas_glauconome,-95.3797222,16.1
